,Name,Link,Tier,Type,Location,Portfolio,# Investments
813,Eurazeo,https://cryptorank.io/funds/eurazeo,4,Venture,France,SorareHomaFlowdesk,5
814,Faction,https://cryptorank.io/funds/faction,4,Venture,United States,Skip ProtocolEconiaEthena,5
815,Fasanara Capital,https://cryptorank.io/funds/fasanara-capital,4,Venture,United Kingdom,MorphoUntangledDebt DAO,5
816,FinLab,https://cryptorank.io/funds/finlab,4,Venture,Germany,SparrowZkSystemsUpland,5
817,Flybridge Capital,https://cryptorank.io/funds/flybridge-capital,4,Venture,United States,bloXrouteFalconXCurv,5
818,"Founders, inc.",https://cryptorank.io/funds/founders-inc,4,Venture,United States,buildspaceGym ClassMysterious,5
819,GeekCartel,https://cryptorank.io/funds/geekcartel,4,Venture,Singapore,EthStorageSolv ProtocolLifeform,5
820,Global Ventures,https://cryptorank.io/funds/global-ventures,4,Venture,UAE,Tribal TokenPyyplHive,5
821,Gradient Ventures,https://cryptorank.io/funds/gradient-ventures,4,Venture,United States,Spectral FinanceMeanwhileConduit,5
822,GTS Ventures,https://cryptorank.io/funds/gst-ventures,4,Venture,Hong Kong,AvaultEarn NetworkSmilee,5
823,Hanwha Investment Corp,https://cryptorank.io/funds/hanwha-investment-corp,4,Venture,South Korea,MachineFiDunamuLightnet,5
824,Harlem Capital,https://cryptorank.io/funds/harlemcapital,4,Venture,United States,Glow LabsPrimitivesMueshi,5
825,High-Tech Grunderfonds,https://cryptorank.io/funds/hightechgrund,4,Venture,Germany,VenlyTanganyCoinpanion,5
826,IGNIA Partners,https://cryptorank.io/funds/ignia-partners,4,Venture,Mexico,AbraRandom GamesAirtm,5
827,IndiGG,https://cryptorank.io/funds/Indigg,4,DAO,India,Utopia LabsOla Guild GamesMetaverse Magna,5
828,Israeli Blockchain Associa...,https://cryptorank.io/funds/israeli-blockchain-association,4,Corporation,Israel,AngelicOP GamesAncient8,5
829,Kangaroo Capital,https://cryptorank.io/funds/kangaroo-capital,4,Venture,Australia,NuLinkShoeFyPrismatic,5
830,Launchpool,https://cryptorank.io/funds/launchpool,4,Corporation,United Kingdom,DeFi11IAGONSingularity DAO,5
831,Long Journey Ventures,https://cryptorank.io/funds/longjourneyvc,4,Venture,United States,Pahdo LabsPaperMultis,5
832,Lua Ventures,https://cryptorank.io/funds/lua-ventures,4,Venture,Singapore,IQ ProtocolCadenverseDareNFT,5
833,Magma Partners,https://cryptorank.io/funds/magma-partners,4,Venture,Chile,KushkiBeloCryptoMKT,5
834,Marin Ventures,https://cryptorank.io/funds/marin-ventures,4,Venture,United States,MaraSocean Staked SOLElusiv,5
835,MarketAcross,https://cryptorank.io/funds/market-across,4,Venture,Israel,Panther ProtocolSleekStarSharks,5
836,Metaplanet Holdings,https://cryptorank.io/funds/metaplanetcom,4,Venture,Estonia,CoinlistArgentFabric Systems,5
837,Mintable,https://cryptorank.io/funds/mintable,4,Corporation,N/A,AngelicTatsumeekoSolice,5
838,Mission Street Ventures,https://cryptorank.io/funds/mission-street-ventures,4,Venture,Switzerland,MaraIQ ProtocolAlienSwap,5
839,Monoceros,https://cryptorank.io/funds/monoceros,4,Venture,Cayman Islands,Karate CombatHyperPlayJungle,5
840,Moonchain Capital,https://cryptorank.io/funds/moonchain-capital,4,Venture,Switzerland,NiftifyWalkenSoulbound,5
841,Moonfire Ventures,https://cryptorank.io/funds/moonfire-ventures,4,Venture,United Kingdom,GOALSImmortal GameSesame Labs,5
842,Mulana Capital,https://cryptorank.io/funds/mulana-capital,4,Venture,Hong Kong,MaraJoyridepeaq,5
843,Nexus Venture Partners,https://cryptorank.io/funds/nexusvp,4,Venture,United States,Kratos StudiosMudrexDaoLens,5
844,NFR Ventures,https://cryptorank.io/funds/nfr-ventures,4,Venture,United States,MoonwellSagaBig Whale Labs,5
845,Nimble Ventures,https://cryptorank.io/funds/nimble-ventures,4,Venture,United States,FigureAbraBitPay,5
846,Nirvana Capital,https://cryptorank.io/funds/nirvana-capital,4,Venture,China,FantomBlockfolioImmutable,5
847,Novator,https://cryptorank.io/funds/novatorvc,4,Venture,United Kingdom,Klang GamesSEED Online,5
848,Ocular VC,https://cryptorank.io/funds/ocular-vc,4,Venture,Singapore,HeadquartersSummoners ArenaCrowdPad,5
849,Openspace Ventures,https://cryptorank.io/funds/openspacevc,4,Venture,Singapore,PluangXLD FinanceSTEPN,5
850,Operator Partners,https://cryptorank.io/funds/operator-partners,4,Venture,United States,LayerZeroTRM LabsVendia,5
851,Original Capital,https://cryptorank.io/funds/original-capital,4,Venture,United States,Binance.USTaxBitNibiru,5
852,Paribu Ventures,https://cryptorank.io/funds/paribu-ventures,4,Venture,Turkey,The Red VillageNeolMangata,5
853,PayU,https://cryptorank.io/funds/payucorp,4,Corporation,Netherlands,BakktBCB GroupBKN301,5
854,Perpetual Protocol,https://cryptorank.io/funds/perpetual-protocol,4,Corporation,Taiwan,Alliance DAOEx PopulusNew Order,5
855,Perridon Holdings,https://cryptorank.io/funds/perridon-holdings,4,Venture,UAE,AnomaLI.FIIQ Protocol,5
856,Phoenix Capital,https://cryptorank.io/funds/phoenixcapital,4,Venture,United States,Web3AuthDeFi11Playcent,5
857,Pirata Capital,https://cryptorank.io/funds/pirata-capital,4,Venture,Cayman Islands,CredoraPetaverse NetworkSkateX,5
858,PLDT,https://cryptorank.io/funds/pldt,4,Corporation,Philippines,Voyager Innovations,5
859,Pluto Capital,https://cryptorank.io/funds/pluto-capital,4,Venture,Singapore,MaraDeHorizonCassava Network,5
860,POAP,https://cryptorank.io/funds/poap,4,Corporation,United States,MonaverseMedallionGitPOAP,5
861,Portal Ventures,https://cryptorank.io/funds/portal-ventures,4,Venture,United States,SatoriRaleonDen,5
862,PreAngel Fund,https://cryptorank.io/funds/preangel-fund,4,Venture,China,Origin ProtocolMoonXCere Network,5
863,Psalion VC,https://cryptorank.io/funds/psalion-vc,4,Venture,France,OrbitalArchimedesHinkal Protocol,5
864,Pulsar Trading,https://cryptorank.io/funds/pulsar-trading,4,Venture,Hong Kong,Hex TrustMaraTreehouse,5
865,Qredo,https://cryptorank.io/funds/qredo,4,Corporation,British Virgin Islands,MaraCaduceusAshSwap,5
866,Raised In Space,https://cryptorank.io/funds/raised-in-space,4,Venture,United States,AuDIGENTCryptoysArtie,5
867,Reinventure,https://cryptorank.io/funds/reinventure,4,Venture,Australia,CoinbaseImmutableFrankieOne,5
868,RIT Capital Partners,https://cryptorank.io/funds/ritcapitalpartners,4,Venture,United Kingdom,OneFootballPax DollarAnimoca Brands,5
869,Santander,https://cryptorank.io/funds/santander,4,Venture,Spain,XRPFnality InternationalSecuritize,5
870,Script Capital,https://cryptorank.io/funds/script-capital,4,Venture,United States,AnytypeDoppelGleen AI,5
871,SGInnovate,https://cryptorank.io/funds/sginnovate,4,Venture,Singapore,DiMutoPropineMerkle Science,5
872,SparkLabs Global Ventures,https://cryptorank.io/funds/sparklabs-global-ventures,4,Venture,United States,BlockoGeniesMino Games,5
873,SpringWind Ventures,https://cryptorank.io/funds/springwind-ventures,4,Venture,N/A,Cassava NetworkSecure3Capsid,5
874,Starting Line,https://cryptorank.io/funds/startingline,4,Venture,United States,Unchained CapitalRSTLSSStrata,5
875,Steadview Capital,https://cryptorank.io/funds/steadview-capital,4,Venture,United Kingdom,PolygonFTX USFTX Token,5
876,Strong Ventures,https://cryptorank.io/funds/strong-ventures,4,Venture,United States,GopaxKorbitMOIN,5
877,Sun Hung Kai & Co. Limited,https://cryptorank.io/funds/sun-hung-kai-and-co-limited,4,Venture,Hong Kong,FigureThe SandboxSygnum,5
878,Supercell,https://cryptorank.io/funds/supercell,4,Corporation,Finland,SEED OnlineKlang GamesBitCraft,5
879,SVB Capital,https://cryptorank.io/funds/svb-capital,4,Venture,United States,FireblocksChipper CashCrusoe Energy Systems,5
880,Synapse Ventures,https://cryptorank.io/funds/synapse-ventures,4,Venture,Poland,Battle of GuardiansCookie3DareNFT,5
881,Tané,https://cryptorank.io/funds/tane,4,Incubator,UAE,FhenixShardeumfxhash,5
882,Third Kind Venture Capital,https://cryptorank.io/funds/third-kind,4,Venture,N/A,TransakSuperRareCube.Exchange,5
883,Third Point Ventures,https://cryptorank.io/funds/third-point,4,Venture,United States,FTX TokenConsenSysPolygon,5
884,Thoma Bravo,https://cryptorank.io/funds/thoma-bravo,4,Venture,United States,FTX TokenAnchorage DigitalFalconX,5
885,Thomson Reuters,https://cryptorank.io/funds/thomson-reuters,4,Corporation,N/A,AxoniLedgibleTractiv,5
886,Timechain,https://cryptorank.io/funds/timechain,4,Venture,Canada,FediRelaiGaloy,5
887,TQ Ventures,https://cryptorank.io/funds/tq-ventures,4,Venture,United States,Decentralized SocialBitcloutMara,5
888,UBS,https://cryptorank.io/funds/ubs,4,Venture,Switzerland,Fnality InternationalConsenSysCarbonplace,5
889,Unusual Ventures,https://cryptorank.io/funds/unusual-ventures,4,Venture,United States,RobinhoodAltoTry Your Best,5
890,Upside,https://cryptorank.io/funds/upside,4,DAO,Australia,The Easy CompanyBlockCypherPortal Gate,5
891,Venturra Capital,https://cryptorank.io/funds/venturra-capital,4,Venture,N/A,TreehouseFinbloxExchange Genesis Ethlas Medium,5
892,Verizon Ventures,https://cryptorank.io/funds/verizon-ventures,4,Venture,United States,Fan Controlled FootballFilament,5
893,Vertex Ventures,https://cryptorank.io/funds/vertex-ventures,4,Venture,Singapore,DedocoRateSCarv,5
894,Very Early Ventures,https://cryptorank.io/funds/very-early-ventures,4,Venture,N/A,Impossible CloudGateway FMDiva,5
895,Vestigo Ventures,https://cryptorank.io/funds/vestigo-ventures,4,Venture,United States,ZenLedgerDigital Assets Data,5
896,Vulcan Capital,https://cryptorank.io/funds/vulcan-capital,4,Venture,United States,Epic GamesHigh FidelityTransparent Systems,5
897,Wedbush Ventures,https://cryptorank.io/funds/wedbushvc,4,Venture,United States,The SandboxValkyrieVertalo,5
898,Wells Fargo Strategic Capi...,https://cryptorank.io/funds/wells-fargo,4,Venture,United States,TalosEllipticAxoni,5
899,XBTO Group,https://cryptorank.io/funds/xbto-group,4,Corporation,United States,KilnNaymsUnocoin,5
900,2 Punks Capital,https://cryptorank.io/funds/2-punks-capital,4,Venture,United States,HighlightRandom GamesBeluga,4
901,AC Ventures,https://cryptorank.io/funds/ac-ventures,4,Venture,South Africa,RekuMadworldNOBI,4
902,Akash Network,https://cryptorank.io/funds/akash-network,4,Corporation,United States,UniX GamingSagaPassage,4
903,Akuna Capital,https://cryptorank.io/funds/akuna-capital,4,Venture,United States,DeribitParadigmBlockFi,4
904,Alphemy Capital,https://cryptorank.io/funds/alphemy-capital,4,Venture,Switzerland,SyntropyDivaShutter,4
905,AltaIR Capital,https://cryptorank.io/funds/altaIr-capital,4,Venture,United States,MeshUnifimoney1World Online,4
906,Altimeter Capital,https://cryptorank.io/funds/altimeter-capital,4,Venture,United States,Epic GamesFTX TokenFalconX,4
907,Apex Capital Partners,https://cryptorank.io/funds/apex-capital-partners,4,Venture,Australia,ImmutableFrankieOne,4
908,Argonautic Ventures,https://cryptorank.io/funds/argonautic-ventures,4,Venture,Cayman Islands,FleekUX ChainGIANT Protocol,4
909,Artesian VC,https://cryptorank.io/funds/artesian-vc,4,Venture,Australia,KikitradeTabTraderBrinc,4
910,Asymmetries Technologies,https://cryptorank.io/funds/asymmetries-technologies,4,Venture,Ireland,DeSyn ProtocolStruct FinanceDAO Maker,4
911,Atesis Capital,https://cryptorank.io/funds/atesis-capital,4,Venture,Australia,GamiumAge of TanksUpOnly,4
912,Augment Ventures,https://cryptorank.io/funds/augmentventures,4,Venture,United States,CrowdzSecroAntler Interactive,4
913,Ayon Capital,https://cryptorank.io/funds/ayon-capital,4,Venture,United States,Prime TrustCoinRoutesFortress Blockchain Technologies,4
914,AZDAG,https://cryptorank.io/funds/azdag,4,Corporation,Singapore,Popop WorldDeSyn ProtocolWeb3Port,4
915,Baller Ventures,https://cryptorank.io/funds/baller-ventures,4,Venture,Canada,BurrataMetalinkszns,4
916,Bas1s Ventures,https://cryptorank.io/funds/basisventures,4,Venture,Japan,Age of DinoStarSharksMirror World,4
917,Basecamp Fund,https://cryptorank.io/funds/basecamp-fund,4,Venture,United States,Fan Controlled FootballGildedWonderverse,4
918,Baselayer Capital,https://cryptorank.io/funds/baselayer-capital,4,Venture,United States,MytaverseUnbound FinanceAcknoLedger,4
919,Bella Protocol,https://cryptorank.io/funds/bella-protocol,4,Corporation,China,iZUMi FinanceChronicleSypool,4
920,Belvedere Trading,https://cryptorank.io/funds/belvedere-trading,4,Corporation,United States,Membrane LabsValkyrieGigaStar,4
921,BIP32 Ventures,https://cryptorank.io/funds/bip32-ventures,4,Venture,Hong Kong,AlienSwapAster ProtocolDotOracle,4
922,Bitcoin Addict Thailand,https://cryptorank.io/funds/bitcoin-addict-thailand,4,Corporation,Thailand,ALL.ARTWeb3GamesKollect,4
923,BlackPool,https://cryptorank.io/funds/blackpool,4,DAO,N/A,Immortal GameFootiumMagic,4
924,Block Dream Fund,https://cryptorank.io/funds/block-dream,4,Venture,United States,ZignalyMetaDojoSaito,4
925,Blockhy.pe,https://cryptorank.io/funds/blockhype,4,Corporation,Singapore,XLD FinanceMemecoinTribe3,4
926,BlockRock Capital,https://cryptorank.io/funds/blockrock-capital,4,Venture,United Kingdom,ReSource ProtocolNansenIDLE,4
927,BlockVenture,https://cryptorank.io/funds/block-venture,4,Venture,United States,Ankr NetworkContangoAcknoLedger,4
928,Bluewheel Capital,https://cryptorank.io/funds/bluewheel-capital,4,Venture,UAE,Battle of GuardiansKingdom KarnageEtermon,4
929,Bollinger Investment Group,https://cryptorank.io/funds/bollinger-investment-group,4,Venture,United States,StarkNetSovrynDefiDollar DAO,4
930,Breed VC,https://cryptorank.io/funds/breed-vc,4,Venture,United States,SpearbitCredoraAstria,4
931,BuildHodl Capital,https://cryptorank.io/funds/buildhodl-capital,4,Venture,Singapore,MintlayerUmbrella NetworkRocketX Exchange,4
932,Capital6 Eagle,https://cryptorank.io/funds/capital6-eagle,4,Venture,United States,MATHSystem 9Vesper,4
933,CDH Investments,https://cryptorank.io/funds/cdh-investments,4,Venture,China,Golden TechnologyStyle3DLiquidFactory,4
934,Ceyuan Ventures,https://cryptorank.io/funds/ceyuan-ventures,4,Venture,China,ChilizNervos NetworkUltrain,4
935,Clocktower Ventures,https://cryptorank.io/funds/clocktower-ventures,4,Venture,United States,KushkiCopper BankingOmniex,4
936,Clovers Ventures,https://cryptorank.io/funds/clovers-ventures,4,Venture,Vietnam,DareNFTCowboy SnakeWarena,4
937,CoinLab,https://cryptorank.io/funds/coin-lab,4,Venture,United States,Tank Wars ZoneCowboy SnakeEtermon,4
938,CoinSummer,https://cryptorank.io/funds/coinsummer,4,Venture,China,BlockSecDeSyn ProtocolKudo Money,4
939,Cointelligence Fund,https://cryptorank.io/funds/cointelligence-fund,4,Venture,Gibraltar,OP GamesSnookCradles,4
940,CoinW,https://cryptorank.io/funds/coinwcorp,4,Corporation,Singapore,TeaDAOReitioMecha Morphing,4
941,Cometa,https://cryptorank.io/funds/cometa,4,Venture,Mexico,BnextAtaniBitso,4
942,Conductive Ventures,https://cryptorank.io/funds/conductive-ventures,4,Venture,United States,JackpocketCHAI,4
943,Corner Ventures,https://cryptorank.io/funds/cornerventures,4,Venture,United States,ConsenSysHeliumHidden Road,4
944,Cota Capital,https://cryptorank.io/funds/cota-capital,4,Venture,United States,AuradineToken.ioUPTIQ (Cion Digital),4
945,Credit Suisse,https://cryptorank.io/funds/credit-suisse,4,Corporation,Switzerland,Taurus Fnality InternationalWyden,4
946,Credo Ventures,https://cryptorank.io/funds/credo-ventures,4,Venture,Czech Republic,Fiat RepublicGAMEE,4
947,Crossbeam,https://cryptorank.io/funds/crossbeam,4,Venture,United States,QuickNodeSaladSupermojo,4
948,Crosscut Ventures,https://cryptorank.io/funds/crosscut-ventures,4,Venture,United States,UnblockedQonsent4K Protocol,4
949,CRT Labs,https://cryptorank.io/funds/crt-labs,4,Venture,UAE,Volare FinancePopop WorldAjuna,4
950,C Ventures,https://cryptorank.io/funds/c-ventures,4,Venture,Hong Kong,ConsenSysAnimoca BrandsMatrixport,4
951,Cyberstarts,https://cryptorank.io/funds/cyberstarts,4,Venture,Israel,FireblocksBlockaid,4
952,DAOSquare,https://cryptorank.io/funds/dao-square,4,DAO,Cayman Islands,CeramicIQ ProtocolDoinGud,4
953,Darling Ventures,https://cryptorank.io/funds/darling-ventures,4,Venture,United States,BalthazarCharmVerseAveron,4
954,Decentral Park Capital,https://cryptorank.io/funds/decentral-park-capital,4,Venture,United States,Pocket NetworkHubble ProtocolVisor Finance,4
955,Deep Ventures,https://cryptorank.io/funds/deep-ventures,4,Venture,United States,Panther ProtocolKintoFoundation Devices,4
956,Definitive Capital,https://cryptorank.io/funds/definitive-capital,4,Venture,N/A,BlockFiDfnsGooseFX,4
957,Deutsche Borse,https://cryptorank.io/funds/deutsche-borse,4,Venture,Germany,Digital AssetHQLAx,4
958,doublejump.tokyo,https://cryptorank.io/funds/doublejump-tokyo,4,Corporation,Japan,ThirdverseSesame LabsYGG Japan,4
959,Draper Cygnus,https://cryptorank.io/funds/draper-cygnus,4,Venture,Argentina,Lemon CashTravelX,4
960,Drive by DraftKings,https://cryptorank.io/funds/drive-by-draft-kings,4,Venture,United States,UNKJDEvaluateBurn Ghost,4
961,DSC Investment,https://cryptorank.io/funds/dsc-investment,4,Venture,South Korea,Lambda256 (Luniverse)DunamuOver Protocol,4
962,DTCC,https://cryptorank.io/funds/dtcc,4,Venture,United States,Digital AssetFnality InternationalSecurrency,4
963,Dunamu & Partners,https://cryptorank.io/funds/dunamu-partners,4,Venture,South Korea,Lambda256 (Luniverse)TiliaFinhaven,4
964,Ecliptic Capital,https://cryptorank.io/funds/ecliptic-capital,4,Venture,United States,Unchained CapitalAuthena,4
965,EI Ventures,https://cryptorank.io/funds/eiventures,4,Venture,United States,Unstoppable DomainsHawkuWhalemap,4
966,Element Ventures,https://cryptorank.io/funds/element-ventures,4,Venture,United Kingdom,Token.ioJanuarWert,4
967,Endeavor,https://cryptorank.io/funds/endeavor,4,Venture,United States,2TMStory ProtocolUnbound Security,4
968,Enzac Research,https://cryptorank.io/funds/enzacresearch,4,Incubator,Hong Kong,AngelicApeironAradena,4
969,Everstake,https://cryptorank.io/funds/everstake,4,Corporation,Ukraine,Cube.ExchangeSquadsNolus,4
970,Exor Seeds,https://cryptorank.io/funds/exor-seeds,4,Venture,Netherlands,Crusoe Energy SystemsSolidus LabsRe,4
971,Fifth Wall,https://cryptorank.io/funds/fifth-wall,4,Venture,United States,FlowcarbonHarborParcl,4
972,Flamingo Capital,https://cryptorank.io/funds/flamingo-capital,4,Venture,United States,CryptoysZigazooUpstream,4
973,Floem Capital,https://cryptorank.io/funds/floem-capital,4,Venture,Singapore,BeyondFiIdexo TokenEizper Chain,4
974,Forerunner Ventures,https://cryptorank.io/funds/forerunnervc,4,Venture,United States,LolliNifty'sGlow Labs,4
975,Future Fund,https://cryptorank.io/funds/future-fund,4,Venture,N/A,metaENGINESakeTokenPulsr,4
976,Gerstenbrot Capital,https://cryptorank.io/funds/gerstenbrot-capital,4,Venture,N/A,Ex PopulusGalaxy Fight ClubMean DAO,4
977,GL Ventures,https://cryptorank.io/funds/gl-ventures,4,Venture,United States,NrealCertiK,4
978,GMO VenturePartners,https://cryptorank.io/funds/gmo-venture,4,Venture,Japan,KlubDefyBunzz,4
979,Gobi Partners,https://cryptorank.io/funds/gobi-partners,4,Venture,China,Animoca BrandsAmber GroupTriip,4
980,Goldcrest Capital,https://cryptorank.io/funds/goldcrest-capital,4,Venture,United States,Lightning LabsRiver FinancialFold,4
981,Hartmann Capital,https://cryptorank.io/funds/hartmann-capital,4,Venture,United States,Secret NetworkPlayibleLifeForce Games,4
982,Hutt Capital,https://cryptorank.io/funds/hutt-capital,4,Venture,United States,Flipside CryptoSeed ClubEasy Crypto,4
983,IA Capital Partners,https://cryptorank.io/funds/ia-capital-partners,4,Venture,United States,MarqetaCloudwallEmpireDAO,4
984,iAngels Technologies,https://cryptorank.io/funds/i-angels-tecnologies,4,Venture,Israel,LedgerMOBLANDUNKJD,4
985,IDC Ventures,https://cryptorank.io/funds/idc-ventures,4,Venture,Spain,LunarSecuritizeTorum,4
986,Injective Protocol,https://cryptorank.io/funds/injective-protocol,4,Venture,United States,Alliance DAOAstarBurnt,4
987,Insurtech Gateway Fund,https://cryptorank.io/funds/insurtech-gateway-fund,4,Venture,United Kingdom,CoincoverNayms,4
988,Interchain Foundation,https://cryptorank.io/funds/interchain-foundation,4,Venture,Switzerland,PenumbraAgoricCelestia,4
989,International Finance Corp...,https://cryptorank.io/funds/international-finance-corporation,4,Corporation,United States,Voyager Innovations,4
990,Intudo Ventures,https://cryptorank.io/funds/intudo-ventures,4,Venture,Indonesia,Pintu TokenSerMorpheus,4
991,ISAI,https://cryptorank.io/funds/isai,4,Venture,France,Arianee ProtocolFlowdeskFinnt,4
992,J17 Capital,https://cryptorank.io/funds/j17-capital,4,Venture,Canada,Horizon Blockchain GamesGamaShardeum,4
993,JAM FINTOP,https://cryptorank.io/funds/jam-fintop,4,Corporation,United States,CoinMetricsLedgibleOnramp Invest,4
994,KineticCapital,https://cryptorank.io/funds/kinetic-capital,4,Venture,Canada,ThunderCoreBoba NetworkBlockApps,4
995,Kyber Capital,https://cryptorank.io/funds/kyber-capital,4,Venture,United States,KintoBelugaCoolBitX,4
996,Lead Capital,https://cryptorank.io/funds/lead-capital,4,Venture,N/A,Summoners ArenaAFKDAOMetaOne,4
997,Ledger Capital,https://cryptorank.io/funds/ledgercapital,4,Venture,China,DeBankRTFKTCoinpanion,4
998,Leo Capital,https://cryptorank.io/funds/leo-capital,4,Venture,Singapore,TradingLeaguesZeeveDeZy,4
999,Limitless Crypto Investmen...,https://cryptorank.io/funds/limitless-crypto-investments,4,Venture,United States,RenKadenaBinance,4
1000,Lumikai,https://cryptorank.io/funds/lumikai,4,Venture,India,LocoGiga Fun StudiosCloudFeather Games,4
1001,Lunar Ventures,https://cryptorank.io/funds/lunar-ventures,4,Venture,Germany,Panther ProtocolMintlayerWombat Exchange,4
1002,Luno Expeditions,https://cryptorank.io/funds/lunoexp,4,Venture,United Kingdom,FlowtyTakiCLST,4
1003,Manifold,https://cryptorank.io/funds/manifold,4,Venture,United States,KLAPBastion ProtocolGammaSwap,4
1004,Menai Financial Group,https://cryptorank.io/funds/menaifingroup,4,Corporation,United States,dYdXBCB GroupInca Digital,4
1005,MoonBoots Capital,https://cryptorank.io/funds/moon-boots-capital,4,Venture,Slovenia,MILC PlatformIgnite TournamentsPolygen,4
1006,Motier Ventures,https://cryptorank.io/funds/motier-ventures,4,Venture,France,Arianee ProtocolFiptoLaCollection,4
1007,Mubadala Capital,https://cryptorank.io/funds/mubadala-capital,4,Venture,United States,Ramp NetworkCoinMetricsAirCarbon Exchange,4
1008,MVST:MG,https://cryptorank.io/funds/mvst:mg,4,Venture,Cyprus,Voltage FinanceSnookRebel Bots,4
1009,Nalu Capital,https://cryptorank.io/funds/nalu-capital,4,Venture,Singapore,AgoricUNXDCharged Particles,4
1010,Naspers,https://cryptorank.io/funds/naspers,4,Venture,South Africa,ImmutableCoins.phDappRadar,4
1011,Neotribe Ventures,https://cryptorank.io/funds/neotribe-ventures,4,Venture,United States,VendiaCipherTraceMetrika,4
1012,NextView,https://cryptorank.io/funds/nextview,4,Venture,United States,KarmaCheckFirstMateSpaceport,4
1013,Nodeseeds,https://cryptorank.io/funds/nodeseeds,4,Venture,United Kingdom,DeFIREOpolisTank Wars Zone,4
1014,Nomad Capital,https://cryptorank.io/funds/nomad-capital,4,Venture,N/A,NeutronPhaverRange Protocol,4
1015,Notion Capital,https://cryptorank.io/funds/notion-capital,4,Venture,United Kingdom,UpvestLandVaultFUEL,4
1016,OKWave,https://cryptorank.io/funds/okwave,4,Venture,Japan,BreadTech BureauLastRoots,4
1017,OneRagtime,https://cryptorank.io/funds/one-ragtime,4,Venture,France,HomaHiveWoleet,4
1018,Orrick,https://cryptorank.io/funds/orrick,4,Corporation,United States,NivauraTokuIntu,4
1019,OWC,https://cryptorank.io/funds/openwebcollective,4,Corporation,United Kingdom,NomadVorto GamingIntuition,4
1020,Panache Ventures,https://cryptorank.io/funds/panache-ventures,4,Venture,Canada,Big Whale LabsSealCredStreamingFast,4
1021,Pathfinder,https://cryptorank.io/funds/pathfinder,4,Venture,Canada,Easy CryptoBlockfolioCrusoe Energy Systems,4
1022,Pattern Research,https://cryptorank.io/funds/pattern-research,4,Venture,United States,Alliance DAOParadigmPrime Protocol,4
1023,Permit Ventures,https://cryptorank.io/funds/permit-ventures,4,Venture,United States,JaduTrident DigitalEndstate,4
1024,PJC,https://cryptorank.io/funds/pjcvc,4,Venture,United States,BlockFiGamerGains,4
1025,Primal Capital,https://cryptorank.io/funds/primal-capital,4,Venture,United Kingdom,AurosMawariAirstack,4
1026,Profluent Trading,https://cryptorank.io/funds/profluent-trading,4,Corporation,Puerto Rico,BCB GroupHidden RoadCoW Protocol,4
1027,Propel Venture Partners,https://cryptorank.io/funds/propel-venture-partners,4,Venture,United States,CoinbaseAffineBrave,4
1028,Punk DAO,https://cryptorank.io/funds/punk-dao,4,DAO,N/A,fxhashIntuitionIon Protocol,4
1029,Raba Capital,https://cryptorank.io/funds/raba-capital,4,Venture,N/A,MaraNestcoinFloat Capital,4
1030,Rakuten Capital,https://cryptorank.io/funds/rakuten-capital,4,Venture,Japan,Bitnet TechnologiesEverledgerProof of Impact,4
1031,Razer,https://cryptorank.io/funds/razerfund,4,Corporation,United States,SupraOraclesAfarMighty Action Heroes,4
1032,R/GA Ventures,https://cryptorank.io/funds/rgaventures,4,Venture,United States,qiibeeFilamentPatientory,4
1033,Rising Capital,https://cryptorank.io/funds/rising-capital,4,Venture,Singapore,BalthazarT.E.A.M DAOYesports,4
1034,RockTree Capital,https://cryptorank.io/funds/rocktree-capital,4,Venture,United States,Pocket NetworkTeaCentaur ,4
1035,Roseon Finance,https://cryptorank.io/funds/roseon-finance,4,Venture,Vietnam,I WORLDZomfiPlaceWar,4
1036,RPM Ventures,https://cryptorank.io/funds/rpm-ventures,4,Venture,United States,Figure,4
1037,SaaS Ventures,https://cryptorank.io/funds/saasventures,4,Venture,United States,BasicBlockCoreChain TechnologiesBetaBlocks,4
1038,SBX Capital,https://cryptorank.io/funds/sbx-capital,4,Venture,United Kingdom,RyderGoSatsHeyLayer,4
1039,Scorpio VC,https://cryptorank.io/funds/scorpio-vc,4,Corporation,Hong Kong,BitCoke TokenKudo MoneyGhostMarket,4
1040,Sheesha Finance,https://cryptorank.io/funds/sheesha-finance,4,Venture,UAE,Voltage FinanceDeFIREZONE,4
1041,Shunwei Capital,https://cryptorank.io/funds/shunwei-capital,4,Venture,China,CertiKNreal,4
1042,SkyBridge Capital,https://cryptorank.io/funds/skybridge-capital,4,Venture,United States,Genesis Digital AssetsVulcan ForgedKinto,4
1043,Skyfall Ventures,https://cryptorank.io/funds/skyfall-ventures,4,Venture,Norway,NansenPresail,4
1044,SPiCE VC,https://cryptorank.io/funds/spice-vc,4,Venture,Israel,SecuritizeBlockdaemonProps,4
1045,Stacks Accelerator,https://cryptorank.io/funds/stacks-accelerator,4,Incubator,N/A,EmpireDAOGoSatsBlockSurvey,4
1046,Standard Chartered Bank,https://cryptorank.io/funds/standard-chartered,4,Corporation,United Kingdom,XRPCarbonplaceCobalt,4
1047,Stateless Ventures,https://cryptorank.io/funds/stateless-ventures,4,Venture,United States,JungleIPOR LabsNftoasis,4
1048,State Street,https://cryptorank.io/funds/state-street,4,Corporation,United States,Fnality InternationalSecurrencyLukka,4
