,Name,Link,Tier,Type,Location,Portfolio,# Investments
53,Electric Capital,https://cryptorank.io/funds/electric-capital,2,Venture,United States,Genesis Digital AssetsConsenSysMagic Eden,83
54,Mechanism Capital,https://cryptorank.io/funds/mechanism-capital,2,Venture,United States,Near ProtocolMaraUpShot,83
55,Kenetic Capital,https://cryptorank.io/funds/kenetic-capital,2,Venture,Hong Kong,BlockFiBlockdaemonHex Trust,82
56,DeFiance Capital,https://cryptorank.io/funds/de-fiance-capital,2,Venture,Singapore,Terra ClassicSecret NetworkConsenSys,81
57,Sandeep Nailwal,https://cryptorank.io/funds/sandeep-nailwal,2, Angel Investor,India,LayerZeroAlliance DAOZamp,81
58,Hypersphere Ventures,https://cryptorank.io/funds/hypersphereventures,2,Venture,United States,LayerZeroMultichainBoba Network,79
59,Jump Capital,https://cryptorank.io/funds/jump-capital,2,Venture,United States,BlockFiBitpanda Ecosystem TokenBitDAO,78
60,1kx,https://cryptorank.io/funds/1kx,2,Venture,Netherlands,SafeZkSyncTerra Classic,75
61,Sfermion,https://cryptorank.io/funds/sfermion,2,Venture,United States,RenderFlowdeskPalm NFT Studio,73
62,The LAO,https://cryptorank.io/funds/thelao,2,DAO,Singapore,SafeLido DAO TokenConsenSys,73
63,Magnus Capital,https://cryptorank.io/funds/magnus-capital,2,Incubator,United States,Secret NetworkHXROSidus Heroes,70
64,Mirana Ventures,https://cryptorank.io/funds/mirana-ventures,2,Venture,Hong Kong,ImprobableStory ProtocolPath Crypto,69
65,FBG Capital,https://cryptorank.io/funds/fbg-capital,2,Venture,China,CoinlistChilizThunderCore,68
66,Lightspeed Venture Partner...,https://cryptorank.io/funds/lightspeed-venture-partners,2,Venture,United States,Epic GamesFTX TokenBlockchain.com,68
67,Dapper Labs,https://cryptorank.io/funds/dapper-labs,2,Corporation,Canada,FlowOneFootballLayerZero,65
68,6th Man Ventures,https://cryptorank.io/funds/6th-man-ventures,2,Venture,United States,Near ProtocolFan Controlled FootballCeramic,62
69,MEXC,https://cryptorank.io/funds/mexc,2,Exchange,Singapore,WOO NetworkOrderly NetworkThetanuts Finance,62
70,Republic,https://cryptorank.io/funds/republic,2,Venture,United States,Terra ClassicPolygonNear Protocol,62
71,Double Peak,https://cryptorank.io/funds/double-peak,2,Venture,Hong Kong,Hex TrustBlocklordsChainPort,61
72,Stani Kulechov,https://cryptorank.io/funds/stani-kulechov,2, Angel Investor,United Kingdom,Near ProtocolLayerZeroAlliance DAO,58
73,Distributed Global,https://cryptorank.io/funds/distributedglobal,2,Venture,United States,BitcloutDecentralized SocialWorldcoin,56
74,Fabric Ventures,https://cryptorank.io/funds/fabric-ventures,2,Venture,United Kingdom,ImmutableAxie InfinityHoma,56
75,Gate.io,https://cryptorank.io/funds/gate-io,2,Exchange,United States,WOO NetworkJamboMara,55
76,IDEO CoLab Ventures,https://cryptorank.io/funds/ideoventures,2,Venture,United States,Alliance DAONeonOptimism,55
77,Wintermute,https://cryptorank.io/funds/wintermute,2,Venture,United Kingdom,Hex TrustdYdXBCB Group,54
78,Divergence Ventures,https://cryptorank.io/funds/divergence-ventures,2,Venture,United States,Lido DAO TokenAxelarGoldfinch,53
79,Maven 11 Capital,https://cryptorank.io/funds/maven11,2,Venture,Netherlands,Fuel NetworkCelestiaGensyn,53
80,SamsungNext,https://cryptorank.io/funds/samsungnext,2,Venture,South Korea,Yuga LabsAxie InfinityLayerZero,52
81,Union Square Ventures,https://cryptorank.io/funds/unionsquare,2,Venture,United States,PolygonDapper LabsTrust Machines,51
82,Variant,https://cryptorank.io/funds/variant,2,Venture,United States,PolygonAptosZkSync,51
83,Ascensive Assets,https://cryptorank.io/funds/ascensiveassets,2,Venture,South Korea,StructurezkLinkBlocklords,50
84,Nascent,https://cryptorank.io/funds/nascent,2,Venture,United States,Alliance DAOMetaStreetClipper,49
85,Slow Ventures,https://cryptorank.io/funds/slowventures,2,Venture,United States,SuiHeliumEspresso,49
86,Accel,https://cryptorank.io/funds/accel,2,Venture,United States,Trade RepublicPolygonChainalysis,48
87,Bitkraft Ventures,https://cryptorank.io/funds/bitkraftventures,2,Venture,United States,ImmutableInworld AIHorizon Blockchain Games,48
88,SoftBank,https://cryptorank.io/funds/softbank,2,Corporation,Japan,FTX TokenRevolutDigital Currency Group,48
89,Mask Network,https://cryptorank.io/funds/mask-network,2,Corporation,United States,WhydahEthSignCyberConnect,46
90,DWF Labs,https://cryptorank.io/funds/dwf-labs,2,Venture,Singapore,EOStomiNetFetch AI,45
91,Merit Circle,https://cryptorank.io/funds/merit-circle,2,DAO,Netherlands,DuskBreakersMetalCoreRoboto Games,45
92,Tribe Capital,https://cryptorank.io/funds/tribecapital,2,Venture,United States,Terra ClassicFTX USChipper Cash,44
93,Sino Global Capital,https://cryptorank.io/funds/sinoglobalcapital,2,Venture,Bahamas,FTX TokenPolygonSolana,43
94,Susquehanna International ...,https://cryptorank.io/funds/susquehanna-international-group,2,Corporation,United States,Voyager InnovationsImprobableLedn,42
95,Bitscale Capital,https://cryptorank.io/funds/bitscale-capital,2,Venture,Switzerland,CeramicWhydahKarate Combat,41
96,Bain Capital Crypto,https://cryptorank.io/funds/bain-capital-crypto,2,Venture,United States,BlockFiCrusoe Energy SystemsBasis Cash,40
97,Polygon Studios,https://cryptorank.io/funds/polygon-studios,2,Venture,United States,ForteThe SandboxCrypto Unicorns,40
98,Yield Guild Games (YGG),https://cryptorank.io/funds/yield-guild-games,2,DAO,Philippines,Utopia LabsCryptoysOasys Games,40
99,Blockchain.com,https://cryptorank.io/funds/blockchain-com,2,Corporation,United Kingdom,GriidFigureDecentralized Social,38
100,ReBlock,https://cryptorank.io/funds/re-block,3,Venture,South Korea,PlaceWarMetaSoccer,2
101,Recruit Strategic Partners,https://cryptorank.io/funds/recruit-strategic,3,Venture,Japan,VeemShoCard,2
102,RiverPark Ventures,https://cryptorank.io/funds/riverpark,3,Venture,United States,AuDIGENT,2
103,Rose Park Advisors,https://cryptorank.io/funds/rose-park-advisors,3,Venture,United States,BlockFiInflection Points,2
104,RPMI Railpen,https://cryptorank.io/funds/rpmi-railpen,3,Venture,United Kingdom,Starling Bank,2
105,SBI Financial Services,https://cryptorank.io/funds/sbi-financial-services,3,Venture,Japan,B2C2CoolBitX,2
106,Scribble Ventures,https://cryptorank.io/funds/scribble-ventures,3,Venture,United States,SuperplasticThe Easy Company,2
107,Seier Capital,https://cryptorank.io/funds/seier-capital,3,Venture,Switzerland,ConcordexVeax Labs,2
108,Seikatsu Ventures,https://cryptorank.io/funds/seikatsu-ventures,3,Venture,China,PowerKeeBridge Mutual,2
109,Sequoia Heritage,https://cryptorank.io/funds/sequoia-heritage,3,Venture,United States,WaveChainalysis,2
110,Shasta Ventures,https://cryptorank.io/funds/shasta-ventures,3,Venture,United States,VertaloLayer1,2
111,Shuttle Fund,https://cryptorank.io/funds/shuttle-fund,3,Venture,United States,AlphaNetworksCurisium,2
112,SICPA,https://cryptorank.io/funds/sicpa,3,Venture,Switzerland,METACO,2
